"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",1985,"ca85",32606.2130496529,32606.2130496529,16303.1065248265,"mima5_dhi",0.137564375152674,95641,25389066,3492631
"Canada",1986,"ca86",33852.6498889753,33852.6498889753,16926.3249444876,"mima5_dhi",0.122033682508013,85712,25730388,3139974
"Canada",1987,"ca87",34276.0719712005,34310.5957233707,17155.2978616853,"mima5_dhi",0.12150115847848,91944,26024221,3161973
"Canada",1988,"ca88",35114.9629737952,34849.1361899454,17424.5680949727,"mima5_dhi",0.118071860253709,82793,26365952,3113077
"Canada",1989,"ca89",35703.0807332294,34818.8420458193,17409.4210229097,"mima5_dhi",0.106950138347775,104650,26730101,2858788
"Canada",1990,"ca90",35298.9153825267,34782.9919372935,17391.4959686468,"mima5_dhi",0.117484166388832,115101,27147471,3189398
"Canada",1991,"ca91",33701.1791683449,34423.106218265,17211.5531091325,"mima5_dhi",0.126693568674004,106313,27556308,3491207
"Canada",1992,"ca92",34096.8214285716,34055.0472251156,17027.5236125578,"mima5_dhi",0.120030980987246,98064,27968121,3357041
"Canada",1993,"ca93",33315.5343786523,33726.7451361345,16863.3725680672,"mima5_dhi",0.124983084803994,97260,28384241,3547550
"Canada",1994,"ca94",33862.7857674824,33360.8148580173,16680.4074290086,"mima5_dhi",0.113744059699349,97973,28794418,3275194
"Canada",1995,"ca95",33657.4049376213,32964.5542130339,16482.2771065169,"mima5_dhi",0.113134794480189,85049,29135926,3296287
"Canada",1996,"ca96",31871.5277777588,32942.1233319842,16471.0616659921,"mima5_dhi",0.132644100640326,79020,28868912.4131,3829290.9235
"Canada",1997,"ca97",32115.5182036546,32953.5414354184,16476.7707177092,"mima5_dhi",0.128256223854523,79001,29104363.5616,3732815.7681
"Canada",1998,"ca98",33203.3799734039,33120.3973644158,16560.1986822079,"mima5_dhi",0.122848113423845,79433,29318916.3693,3601773.5636
"Canada",1999,"ca99",33919.8762846535,33913.353484337,16956.6767421685,"mima5_dhi",0.119758980039368,74174,29693589.9966,3556074.0517
"Canada",2000,"ca00",34491.6845826081,34733.3287324355,17366.6643662177,"mima5_dhi",0.124039924159758,72850,29988472.9864,3719767.9149
"Canada",2001,"ca01",35836.308377365,35333.6202560029,17666.8101280015,"mima5_dhi",0.118756629453733,74398,30321453.0352,3600873.5626
"Canada",2002,"ca02",36215.394444147,35884.8732734707,17942.4366367354,"mima5_dhi",0.124017537200114,70639,30610997.0179,3796300.4614
"Canada",2003,"ca03",36204.837591241,36558.8315629677,18279.4157814838,"mima5_dhi",0.131819046755812,71418,30893154.9865,4072306.2416
"Canada",2004,"ca04",36676.1413719925,37043.0554930463,18521.5277465232,"mima5_dhi",0.133267503947825,68542,31174918.9842,4154603.6388
"Canada",2005,"ca05",37861.4760300928,37758.3006284431,18879.1503142215,"mima5_dhi",0.127729610931598,66010,31516412.991,4025579.1693
"Canada",2006,"ca06",38257.4280277583,38610.7193693112,19305.3596846556,"mima5_dhi",0.125055315788703,66646,31853379.9989,3983434.4947
"Canada",2007,"ca07",39791.6201211307,39381.4599385614,19690.7299692807,"mima5_dhi",0.116723577595818,64783,32194011.0156,3757800.1429
"Canada",2008,"ca08",40466.9312955818,40031.4693785254,20015.7346892627,"mima5_dhi",0.123472764205633,60898,32567047.0113,4021143.3165
"Canada",2009,"ca09",40529.8442182433,40707.8768450991,20353.9384225496,"mima5_dhi",0.12923032118397,62116,32970037.997,4260728.5998
"Canada",2010,"ca10",41111.5232299127,41206.0775991989,20603.0387995995,"mima5_dhi",0.126583459615367,60362,33324460.007,4218325.4375
"Canada",2011,"ca11",41639.4653606272,41662.0753516625,20831.0376758312,"mima5_dhi",0.12216658330335,57836,33666426.99,4112912.3574
"Canada",2012,"ca12",42282.6238916296,42158.1294386884,21079.0647193442,"mima5_dhi",0.132490681985032,57540,33682117.2013,4462566.6787
"Canada",2013,"ca13",42746.9200578996,42695.8070951367,21347.9035475684,"mima5_dhi",0.13569380849716,54483,34017360.8562,4615945.2496
"Canada",2014,"ca14",43010.1146533727,43063.930321567,21531.9651607835,"mima5_dhi",0.126920769713281,55552,34432065.1795,4370144.2154
"Canada",2015,"ca15",43799.9115121546,43535.4055432411,21767.7027716206,"mima5_dhi",0.139256643931794,59730,34747526.6844,4838823.951
"Canada",2016,"ca16",43480.0814927786,44011.3983709061,22005.6991854531,"mima5_dhi",0.127359800715603,62149,35158296.4989,4477753.6356
"Canada",2017,"ca17",44640,44544.9336816672,22272.4668408336,"mima5_dhi",0.121470152872818,91884,35555937.4501,4318985.1576
"Canada",2018,"ca18",45126.8841962246,45423.0446654619,22711.522332731,"mima5_dhi",0.121934752990615,93936,36065191.4712,4397600.2136
"Canada",2019,"ca19",45677.7912071784,46248.3278032189,23124.1639016094,"mima5_dhi",0.118464861516966,72352,36481478.5343,4321773.3025
"Canada",2020,"ca20",48190.466431128,48190.466431128,24095.233215564,"mima5_dhi",0.084518608289665,123135,36696967.5905,3101576.6292
"Canada",2021,"ca21",47606.4971815634,47606.4971815634,23803.2485907817,"mima5_dhi",0.0961340387547734,89511,37110618.0299,3567593.5919
"Germany",1985,"de85",19146.1560324926,19146.1560324926,9573.07801624632,"mima5_dhi",0.068865838777326,13956,60547419.65,4169648.84
"Germany",1986,"de86",20174.6355290496,20174.6355290496,10087.3177645248,"mima5_dhi",0.0655460681338439,13709,60811512.78,3985955.56
"Germany",1987,"de87",20647.2476857776,20575.7937095331,10287.8968547665,"mima5_dhi",0.0694943006647484,13069,60910434.23,4232928.03
"Germany",1988,"de88",21322.8541027056,21226.1543995527,10613.0771997764,"mima5_dhi",0.0682017695119101,12645,61403151.56,4187803.59
"Germany",1989,"de89",21588.07519764,21330.2312667859,10665.1156333929,"mima5_dhi",0.0553605516726605,12495,62752830.22,3474031.3
"Germany",1990,"de90",22397.9594825908,21398.8415912477,10699.4207956239,"mima5_dhi",0.0581652276411382,12490,62822346.24,3654076.07
"Germany",1991,"de91",20695.0198652154,21315.8057480813,10657.9028740407,"mima5_dhi",0.08481979116766,17921,80116894.73,6795498.28
"Germany",1992,"de92",20990.2993080868,21103.4176233927,10551.7088116963,"mima5_dhi",0.0769389905998116,17610,80849758.64,6220498.82
"Germany",1993,"de93",20907.6748868737,20721.7459096036,10360.8729548018,"mima5_dhi",0.0650184043279535,17216,81128517.91,5274846.78
"Germany",1994,"de94",20526.1345741968,20723.8827279986,10361.9413639993,"mima5_dhi",0.0844934692020219,17812,81486943.37,6885114.54
"Germany",1995,"de95",20489.6009136454,20594.9546957728,10297.4773478864,"mima5_dhi",0.0770481141956173,17424,81726197.01,6296849.36
"Germany",1996,"de96",20705.7039571905,20575.1554111714,10287.5777055857,"mima5_dhi",0.0723757705839832,17105,82005631.61,5935220.78
"Germany",1997,"de97",20345.6591469577,20733.4386374814,10366.7193187407,"mima5_dhi",0.0717986900715352,18860,81769376.63,5870934.13
"Germany",1998,"de98",20808.6784638666,21008.1526074083,10504.0763037042,"mima5_dhi",0.0673069193364097,18097,81896763.28,5512218.84
"Germany",1999,"de99",21317.5507057469,21150.076337841,10575.0381689205,"mima5_dhi",0.0711474419968366,31990,81906921.97,5827467.98
"Germany",2000,"de00",21863.1707632799,21462.4783747331,10731.2391873665,"mima5_dhi",0.0713713421941347,28890,82013041.37,5853380.84
"Germany",2001,"de01",21415.3226093538,21637.519945512,10818.759972756,"mima5_dhi",0.0786108008915699,30261,82204551.75,6462165.65
"Germany",2002,"de02",21907.6693314182,21719.1615937497,10859.5807968748,"mima5_dhi",0.076876034317822,28935,82285261.54,6325764.59
"Germany",2003,"de03",21683.8863177612,21639.5992047137,10819.7996023569,"mima5_dhi",0.0802842619603844,28060,82231105.31,6601863.6
"Germany",2004,"de04",21725.7589469352,21656.7586316357,10828.3793158179,"mima5_dhi",0.0822179858293771,26824,82170188.82,6755867.42
"Germany",2005,"de05",21465.3588181003,21610.3659588371,10805.1829794185,"mima5_dhi",0.0937887187333873,28791,82078800.35,7698065.52
"Germany",2006,"de06",21501.1197439638,21579.1559753031,10789.5779876516,"mima5_dhi",0.0895493125898074,26737,81951587.43,7338708.32
"Germany",2007,"de07",21675.7059674248,21625.1691200914,10812.5845600457,"mima5_dhi",0.0870378049395517,24999,81872974.45,7126043.98
"Germany",2008,"de08",21527.8364000915,21753.2068163405,10876.6034081703,"mima5_dhi",0.0935350897665509,23338,81590346.03,7631560.34
"Germany",2009,"de09",21955.8246708764,21813.1181151129,10906.5590575564,"mima5_dhi",0.0939929213412552,37581,81356884.23,7646971.22
"Germany",2010,"de10",22105.547299346,21825.327637476,10912.663818738,"mima5_dhi",0.0899163125599486,44132,79750508.51,7170871.65
"Germany",2011,"de11",21800.6762378257,21877.5116840695,10938.7558420348,"mima5_dhi",0.0871407291652531,42526,79839541.93,6957275.9
"Germany",2012,"de12",21736.7535792404,21910.7828434811,10955.3914217405,"mima5_dhi",0.093861857027337,47815,80061579.73,7514728.55
"Germany",2013,"de13",21788.756633059,22038.5439398624,11019.2719699312,"mima5_dhi",0.0941692853241472,41636,80412486.13,7572386.35
"Germany",2014,"de14",22122.1804679343,22309.1453838049,11154.5726919024,"mima5_dhi",0.098630312270935,41214,81035321.15,7992539.03
"Germany",2015,"de15",22744.3527812526,22677.9140557586,11338.9570278793,"mima5_dhi",0.0986136848921618,36940,81426771.13,8029793.95
"Germany",2016,"de16",23153.683457538,23184.1029084115,11592.0514542057,"mima5_dhi",0.100730824814371,45720,82096466.65,8269644.8
"Germany",2017,"de17",23580.596939009,23734.3474837885,11867.1737418943,"mima5_dhi",0.110166741425273,47899,82251488.36,9061378.45
"Germany",2018,"de18",24319.7008963236,24388.4529820614,12194.2264910307,"mima5_dhi",0.10584021122889,48520,82500600.94,8731881.03
"Germany",2019,"de19",24873.4033448195,24916.8134074776,12458.4067037388,"mima5_dhi",0.114836929736013,50558,82886497.94,9518430.94
"Germany",2020,"de20",26014.8802726169,26014.8802726169,13007.4401363085,"mima5_dhi",0.119454636558744,31206,81409719.54,9724768.46
"Germany",2021,"de21",25795.4855846188,25795.4855846188,12897.7427923094,"mima5_dhi",0.117406454637922,50086,82782240.38,9719169.35
"United Kingdom",1985,"uk85",11840.3825004458,11840.3825004458,5920.19125022288,"mima5_dhi",0.0613802284984996,18206,56549823.999219,3471041.118622
"United Kingdom",1986,"uk86",12153.2634991962,12153.2634991962,6076.63174959808,"mima5_dhi",0.0654769662203113,18330,56750920.2316747,3715878.08698094
"United Kingdom",1987,"uk87",12925.8866327634,12945.7880489124,6472.89402445622,"mima5_dhi",0.0950672081720669,18735,56799654.000501,5399784.530967
"United Kingdom",1988,"uk88",13802.6951930616,13499.5590398632,6749.77951993161,"mima5_dhi",0.110979433007452,18280,56903792.999933,6315150.683106
"United Kingdom",1989,"uk89",14006.7124190953,13999.4823105669,6999.74115528346,"mima5_dhi",0.120692016544255,18590,57058909.002261,6886554.789298
"United Kingdom",1990,"uk90",14609.2374551997,14253.9216529364,7126.9608264682,"mima5_dhi",0.134879576203605,17437,57219609.000482,7717756.612521
"United Kingdom",1991,"uk91",14652.8798527147,14298.7143908916,7149.35719544579,"mima5_dhi",0.131591526726034,17089,57433922.999685,7557817.613394
"United Kingdom",1992,"uk92",14198.0833446108,14395.4324789605,7197.71623948024,"mima5_dhi",0.139874705885287,18174,57579567.000642,8053924.999217
"United Kingdom",1993,"uk93",14026.6588828375,14375.0780868481,7187.53904342407,"mima5_dhi",0.139339228660785,17291,57698434.999846,8039655.427813
"United Kingdom",1994,"uk94",14490.3028594399,14480.0846095386,7240.04230476928,"mima5_dhi",0.11065518047362,62364,54904063,6075419
"United Kingdom",1995,"uk95",14507.465494638,14772.6323808259,7386.31619041297,"mima5_dhi",0.117835875447822,59199,52354251,6169209
"United Kingdom",1996,"uk96",15177.9124661668,15215.5927353734,7607.79636768668,"mima5_dhi",0.118487424067841,57519,52712514,6245770
"United Kingdom",1997,"uk97",15660.8222010477,15641.5855321074,7820.79276605368,"mima5_dhi",0.119704626269341,53677,53671259,6424698
"United Kingdom",1998,"uk98",16241.4606555746,16225.8957711109,8112.94788555546,"mima5_dhi",0.124131905454756,51718,53588777,6652077
"United Kingdom",1999,"uk99",16620.2668431098,16827.7691364727,8413.88456823635,"mima5_dhi",0.13053904416919,56580,53994221,7048354
"United Kingdom",2000,"uk00",17429.0166896558,17384.4758825878,8692.23794129389,"mima5_dhi",0.119324001450848,53446,54100767,6455520
"United Kingdom",2001,"uk01",18187.2792929757,17887.6529333881,8943.82646669404,"mima5_dhi",0.10800270317409,57132,54393833,5874681
