"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",1985,"ca85",34731.6752679636,34731.6752679636,17365.8376339818,"mima5_mhi",0.251030935915484,95641,25389066,6373441
"Canada",1986,"ca86",36740.8076668274,36740.8076668274,18370.4038334137,"mima5_mhi",0.240609546968355,85712,25730388,6190977
"Canada",1987,"ca87",37549.8332807794,37419.4439181594,18709.7219590797,"mima5_mhi",0.234818056609648,91944,26024221,6110957
"Canada",1988,"ca88",38834.0408835841,38201.5142997637,19100.7571498818,"mima5_mhi",0.233870827042392,82793,26365952,6166227
"Canada",1989,"ca89",39240.8624916426,38118.3745028559,19059.187251428,"mima5_mhi",0.223001027942244,104650,26730101,5960840
"Canada",1990,"ca90",38642.0271759849,37823.4302248465,18911.7151124232,"mima5_mhi",0.2376745148747,115101,27147471,6452262
"Canada",1991,"ca91",36325.1086822886,37026.4295841297,18513.2147920648,"mima5_mhi",0.259769088079579,106313,27556308,7158277
"Canada",1992,"ca92",36075.1118907321,36382.544331043,18191.2721655215,"mima5_mhi",0.262280008013409,98064,27968121,7335479
"Canada",1993,"ca93",34849.03768,35810.0904858786,17905.0452429393,"mima5_mhi",0.271635940520657,97260,28384241,7710180
"Canada",1994,"ca94",36021.4362262092,35410.6919242088,17705.3459621044,"mima5_mhi",0.259945208824849,97973,28794418,7484971
"Canada",1995,"ca95",35779.7579501631,35166.6094038855,17583.3047019428,"mima5_mhi",0.255446557627858,85049,29135926,7442672
"Canada",1996,"ca96",34328.1158739395,35490.3741941901,17745.1870970951,"mima5_mhi",0.282501239662192,79020,28868912.4131,8155503.5444
"Canada",1997,"ca97",34854.6992891159,35855.8272825686,17927.9136412843,"mima5_mhi",0.277804627766116,79001,29104363.5616,8085326.8856
"Canada",1998,"ca98",36467.861631523,36477.5133072149,18238.7566536074,"mima5_mhi",0.26844562890944,79433,29318916.3693,7870534.9437
"Canada",1999,"ca99",37848.7016681013,37426.0501613621,18713.0250806811,"mima5_mhi",0.257376543680811,74174,29693589.9966,7642433.5628
"Canada",2000,"ca00",38888.1880733946,38349.4555374577,19174.7277687288,"mima5_mhi",0.249229440931838,72850,29988472.9864,7474010.3568
"Canada",2001,"ca01",39070.8001446758,38925.8102184524,19462.9051092262,"mima5_mhi",0.25313201586315,74398,30321453.0352,7675330.5307
"Canada",2002,"ca02",39471.7261695935,39300.5817886461,19650.2908943231,"mima5_mhi",0.250718219161961,70639,30610997.0179,7674734.6591
"Canada",2003,"ca03",39349.6350364965,39656.7854014833,19828.3927007417,"mima5_mhi",0.25658795159523,71418,30893154.9865,7926811.3563
"Canada",2004,"ca04",39722.5595190702,40033.8752467674,20016.9376233837,"mima5_mhi",0.256062398450684,68542,31174918.9842,7982724.5266
"Canada",2005,"ca05",40669.2061375807,40565.3711972364,20282.6855986182,"mima5_mhi",0.248126987580507,66010,31516412.991,7820072.6148
"Canada",2006,"ca06",40956.2493710963,41291.8872413578,20645.9436206789,"mima5_mhi",0.2481965022165,66646,31853379.9989,7905897.4995
"Canada",2007,"ca07",42129.2059219382,41770.1976509367,20885.0988254684,"mima5_mhi",0.238361060881217,64783,32194011.0156,7673798.6197
"Canada",2008,"ca08",42982.2152571037,42110.8085198717,21055.4042599358,"mima5_mhi",0.241635514155444,60898,32567047.0113,7869355.1491
"Canada",2009,"ca09",42114.1115669647,42598.6261139646,21299.3130569823,"mima5_mhi",0.262331126645562,62116,32970037.997,8649067.2133
"Canada",2010,"ca10",42372.2604822554,43047.4858876354,21523.7429438177,"mima5_mhi",0.265200051993149,60362,33324460.007,8837648.5265
"Canada",2011,"ca11",43395.3373415608,43513.2551051156,21756.6275525578,"mima5_mhi",0.251384284192494,57836,33666426.99,8463210.6502
"Canada",2012,"ca12",44373.5047902925,44208.6330713685,22104.3165356842,"mima5_mhi",0.256361084948862,57540,33682117.2013,8634784.1091
"Canada",2013,"ca13",45311.0613445045,44877.1555271956,22438.5777635978,"mima5_mhi",0.260449316507903,54483,34017360.8562,8859798.3844
"Canada",2014,"ca14",45591.001398229,45138.613862194,22569.306931097,"mima5_mhi",0.241188042102812,55552,34432065.1795,8304602.3862
"Canada",2015,"ca15",45714.872761391,45392.6614492539,22696.3307246269,"mima5_mhi",0.257208597405365,59730,34747526.6844,8937362.6018
"Canada",2016,"ca16",44702.6290165532,45677.6247482809,22838.8123741405,"mima5_mhi",0.25457202732732,62149,35158296.4989,8950318.8171
"Canada",2017,"ca17",45643.7427255916,45993.2381536455,22996.6190768227,"mima5_mhi",0.258599718869549,91885,35556042.9083,9194782.7002
"Canada",2018,"ca18",46735.8778396399,45878.9224175037,22939.4612087518,"mima5_mhi",0.243218137954562,93936,36065191.4712,8771708.7146
"Canada",2019,"ca19",47169.0684250516,46471.0188704162,23235.5094352081,"mima5_mhi",0.241480146568846,72354,36482530.2849,8809806.7604
"Canada",2020,"ca20",45143.2940806819,45143.2940806819,22571.647040341,"mima5_mhi",0.258583313572115,123135,36696967.5905,9489223.4776
"Canada",2021,"ca21",47663.1112811159,47663.1112811159,23831.5556405579,"mima5_mhi",0.249447323438309,89511,37110618.0299,9257144.3387
"Germany",1985,"de85",22238.7497912401,22238.7497912401,11119.3748956201,"mima5_mhi",0.268581821388981,13956,60547419.65,16261936.25
"Germany",1986,"de86",23255.3969499044,23255.3969499044,11627.6984749522,"mima5_mhi",0.262661742485927,13709,60811512.78,15972857.91
"Germany",1987,"de87",24096.916640267,24108.8394652384,12054.4197326192,"mima5_mhi",0.259941292984606,13069,60910434.23,15833137.03
"Germany",1988,"de88",25175.9302857683,24903.6680971904,12451.8340485952,"mima5_mhi",0.258542201119554,12645,61403151.56,15875305.96
"Germany",1989,"de89",25777.2036590123,24942.5149341439,12471.2574670719,"mima5_mhi",0.243766217497624,12495,62752830.22,15297020.06
