"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"Canada",1985,"ca85",25111.527113474,25111.527113474,12555.763556737,"mima5_dhi",0.137564375152674,95641,25389066,3492631
"Canada",1986,"ca86",26071.464792781,26071.464792781,13035.7323963905,"mima5_dhi",0.122033682508013,85712,25730388,3139974
"Canada",1987,"ca87",26397.5613892196,26424.1497003908,13212.0748501954,"mima5_dhi",0.12150115847848,91944,26024221,3161973
"Canada",1988,"ca88",27043.6294905604,26838.904198483,13419.4520992415,"mima5_dhi",0.118071860253709,82793,26365952,3113077
"Canada",1989,"ca89",27496.5657159191,26815.5733007659,13407.786650383,"mima5_dhi",0.106950138347775,104650,26730101,2858788
"Canada",1990,"ca90",27185.2996039347,26787.9635022623,13393.9817511312,"mima5_dhi",0.117484166388832,115101,27147471,3189398
"Canada",1991,"ca91",25954.8103041958,26510.7991478071,13255.3995739035,"mima5_dhi",0.126693568674004,106313,27556308,3491207
"Canada",1992,"ca92",26259.5123967016,26227.3401833528,13113.6700916764,"mima5_dhi",0.120030980987246,98064,27968121,3357041
"Canada",1993,"ca93",25657.807718284,25974.4998183492,12987.2499091746,"mima5_dhi",0.124983084803994,97260,28384241,3547550
"Canada",1994,"ca94",26079.2708936479,25692.6802741235,12846.3401370617,"mima5_dhi",0.113744059699349,97973,28794418,3275194
"Canada",1995,"ca95",25921.0977789169,25387.5019354016,12693.7509677008,"mima5_dhi",0.113134794480189,85049,29135926,3296287
"Canada",1996,"ca96",24545.7125830669,25370.2268940836,12685.1134470418,"mima5_dhi",0.132644100640326,79020,28868912.4131,3829290.9235
"Canada",1997,"ca97",24733.6207030925,25379.0204946632,12689.5102473316,"mima5_dhi",0.128256223854523,79001,29104363.5616,3732815.7681
"Canada",1998,"ca98",25571.4325116938,25507.5238317015,12753.7619158507,"mima5_dhi",0.122848113423845,79433,29318916.3693,3601773.5636
"Canada",1999,"ca99",26123.2388965459,26118.2153914626,13059.1076957313,"mima5_dhi",0.119758980039368,74174,29693589.9966,3556074.0517
"Canada",2000,"ca00",26563.6144641082,26749.7156102598,13374.8578051299,"mima5_dhi",0.124039924159758,72850,29988472.9864,3719767.9149
"Canada",2001,"ca01",27599.1703818728,27212.0274048585,13606.0137024292,"mima5_dhi",0.118756629453733,74398,30321453.0352,3600873.5626
"Canada",2002,"ca02",27891.1217970782,27636.5724163704,13818.2862081852,"mima5_dhi",0.124017537200114,70639,30610997.0179,3796300.4614
"Canada",2003,"ca03",27882.9914846872,28155.6183366765,14077.8091683382,"mima5_dhi",0.131819046755812,71418,30893154.9865,4072306.2416
