
Year,Germany_Total,UK_Total,Germany_Female,UK_Female,Germany_Male,UK_Male
2003,,,,,,
2004,,,,,,
2005,11.0,6.2,19.1,8.1,16.4,10.3
2006,11.2,4.6,17.1,5.9,12.6,9.2
2007,10.5,4.0,19.6,5.1,15.0,6.6
2008,10.9,4.3,19.8,6.2,17.0,6.1
2009,9.3,4.0,18.1,5.9,15.6,8.0
2010,8.6,5.1,15.8,7.7,14.5,8.3
2011,8.8,4.9,17.7,7.8,15.5,9.0
2012,8.2,9.3,16.3,8.5,16.2,13.2
2013,8.4,8.7,15.7,10.1,14.5,13.2
2014,7.5,8.0,16.9,9.7,14.4,12.6
2015,7.1,6.5,15.7,8.2,13.8,10.7
2016,6.5,5.2,14.9,7.1,13.3,9.9
2017,7.0,5.1,15.0,7.9,11.6,7.9
2018,6.4,4.8,14.8,6.8,11.5,8.4
2019,5.3,,13.7,,11.4,
2020,12.7,,18.2,,18.6,
2021,10.5,,14.9,,15.4,
2022,11.6,,15.3,,15.6,
2023,13.3,,17.1,,17.7,
2024,11.2,,14.7,,16.5,
